daytime,co2_flux,qc_co2_flux,co2_mole_fraction,co2_mixing_ratio,air_pressure,wind_speed,wind_dir,u.,x_90.,TS
12/11/2015 0:30,0.474235265,1,400.6149321,413.2421787,100957.9278,0.051943995,186.1646491,0.032282778,10,29.82576667
12/11/2015 1:00,0.414857465,1,401.9732588,414.7348874,100988.4097,0.058997956,185.8019289,0.02888559,8,29.80969667
12/11/2015 1:30,0.108926052,2,401.925714,414.6997614,100997.1323,0.127054329,172.8562656,0.022440223,33,29.78927667
12/11/2015 2:00,0.355198914,1,400.9167658,413.4950941,100972.562,0.108201053,191.5574584,0.030936811,30,29.78287333
12/11/2015 2:30,0.4772189,1,396.9165167,409.1573173,100936.0145,0.050940032,179.8496337,0.026817671,8,29.78701
12/11/2015 3:00,0.308422889,1,396.8989194,408.9839364,100880.2983,0.063935865,180.9058977,0.023983274,16,29.76040333
12/11/2015 3:30,1.298685055,1,401.5728703,413.8910663,100859.2898,0.015830176,149.670824,0.050919227,NA,29.73760333
12/11/2015 4:00,-0.157502786,1,401.5107863,413.8348174,100823.9389,0.032258258,195.641042,0.011164552,7,29.70936667
12/11/2015 4:30,-0.37996128,1,402.8350923,415.1596003,100805.1513,0.096417889,197.4539877,0.019798879,39,29.67471333
12/11/2015 5:00,0.699443467,1,405.3978873,417.8683984,100816.4622,0.009638825,149.2262654,0.052448679,NA,29.63403667
12/11/2015 5:30,0.459776749,2,406.9807485,419.4633842,100830.0398,0.066017216,164.1122031,0.018875134,25,29.56141
12/11/2015 6:00,-0.178394796,1,404.7258811,417.0636637,100824.2734,0.07242801,202.1858862,0.01732488,27,29.16635
12/11/2015 6:30,-0.310215548,1,406.0679617,418.479561,100834.3014,0.102152206,199.6500677,0.010991251,57,NA
12/11/2015 7:00,0.066642534,1,400.3693237,412.5556099,100851.2498,0.081414781,177.3960177,0.015419136,36,NA
12/11/2015 7:30,-0.00519418,2,406.6442089,419.1165996,100874.3587,0.012158256,357.6233083,0.031485028,NA,NA
12/11/2015 8:00,0.133919238,2,408.8013434,421.6127763,100920.1158,0.040126275,201.4672061,0.016390646,8,NA
12/11/2015 8:30,0.332716327,1,405.7337963,418.5132688,100941.3373,0.12271339,142.9638415,0.022529563,31,NA
12/11/2015 9:00,-0.197941113,1,407.3718743,420.2723156,100959.5083,0.089893796,150.7116991,0.026080948,12,NA
12/11/2015 9:30,0.734992781,1,400.9632702,413.3566685,100981.413,0.129961795,54.01460486,0.051738913,16,29.67648667
12/11/2015 10:00,-0.487385857,1,399.1904227,411.5231534,100971.5673,0.061054206,307.9800729,0.063705967,NA,29.87644667
12/11/2015 10:30,0.34093818,1,407.8766625,420.8725513,100920.4841,1.543837009,67.73311861,0.058360603,684,29.87114667
12/11/2015 11:00,0.017610169,1,403.3952669,416.0845797,100978.1111,0.855491007,62.95051322,0.053176276,350,29.88783
12/11/2015 11:30,0.281508442,2,399.1442681,411.6536611,100970.1417,0.503236391,352.4978318,0.052886647,191,29.97330667
12/11/2015 12:00,0.112847127,1,396.2319249,408.5403096,100943.0218,0.800173356,338.0045681,0.047296024,351,29.99128667
12/11/2015 12:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/11/2015 13:00,0.151433124,2,391.5098204,403.6335467,100906.2923,1.32381751,307.8674664,0.040103389,876,30.21154643
12/11/2015 13:30,-0.001255319,1,390.9285783,403.1358429,100872.0873,1.580761703,296.0725487,0.065616236,926,30.42
12/11/2015 14:00,-0.133156802,1,390.1883242,402.5595693,100843.7176,1.948079793,299.9274416,0.071807491,1254,30.45346333
12/11/2015 14:30,0.170935237,1,389.1197377,401.5189306,100820.6976,1.826471849,301.9131871,0.077854881,1283,30.51547333
12/11/2015 15:00,-0.053867188,1,388.6349431,400.7428448,100795.5728,1.717833045,300.4359987,0.070617954,915,30.61626667
12/11/2015 15:30,-0.002080146,1,387.3720824,399.2860782,100739.8789,1.856397174,306.5799025,0.062816324,1136,30.69694667
12/11/2015 16:00,0.125784214,1,387.2991741,399.1485209,100688.2143,1.489114178,309.9087647,0.083781268,790,30.84447
12/11/2015 16:30,0.073813865,1,387.2343296,399.1091912,100667.2808,1.443815972,301.5477974,0.085003024,721,31.00810333
12/11/2015 17:00,-0.472227998,1,387.8624232,399.7428568,100656.8498,1.006266396,301.8567524,0.063781426,464,31.03074
12/11/2015 17:30,-0.188413419,2,395.9388669,408.4571573,100679.7692,0.397025291,248.4971274,0.041943064,326,30.86873667
12/11/2015 18:00,-0.319814317,1,402.1205764,415.0749556,100705.0372,0.08211097,190.3028953,0.024779838,21,30.57352667
12/11/2015 18:30,0.358010279,1,418.9983975,432.6698858,100728.0724,0.056107785,195.4414437,0.024717521,14,NA
12/11/2015 19:00,-0.043803591,2,438.2666318,451.7764314,100746.1281,0.092222405,238.7877677,0.025144475,27,NA
12/11/2015 19:30,0.221459132,1,428.9684623,442.6405757,100819.3415,0.095037651,176.7716176,0.029207938,33,NA
12/11/2015 20:00,-1.084890718,1,427.8531351,440.6143089,100876.0466,0.232546797,173.4197367,0.022460357,69,NA
12/11/2015 20:30,-2.343014209,2,428.9614432,441.1390433,100896.3954,0.270391635,170.0673067,0.045700125,440,NA
12/11/2015 21:00,0.280104916,1,421.8854166,435.2602252,100889.1223,0.106374841,189.3986954,0.031553023,25,29.30689667
12/11/2015 21:30,0.633637734,1,433.5655409,445.7596615,100906.5065,0.123029731,206.2429575,0.022813301,40,30.33528333
12/11/2015 22:00,0.070319911,2,429.5983845,441.915288,100946.6457,0.124533773,192.7610896,0.028213606,48,30.20085
12/11/2015 22:30,0.297891223,2,432.3359963,445.0591994,101001.6529,0.064312606,179.8307076,0.025097328,13,30.12182333
12/11/2015 23:00,-0.800709746,1,432.119085,445.2422526,101016.3911,0.036172677,243.3866378,0.03537375,NA,30.12808
12/11/2015 23:30,-0.226998976,1,438.0725486,451.1570459,101027.4577,0.016145072,189.8245375,0.028283164,NA,30.11421667
13/11/2015 0:00,0.092436895,2,441.1664576,454.9056635,101037.1284,0.057139439,198.3257786,0.017555637,15,30.0874
13/11/2015 0:30,0.172724446,2,440.4030895,454.291584,101031.7208,0.089574336,183.0130537,0.017235234,26,30.08492
