DATE,LAT,LON,CHL,PAR,POC,PIC,SST
2015-11-02T02:54:59.000Z,6.02,99.98,0.85,53.298,193.6,0.00002199,30.82
2015-11-03T02:09:59.000Z,6.02,99.98,0.56,53.266,115.4,0.000046,30.05
2015-11-04T02:44:59.000Z,6.02,99.98,1.08,53.006,220.2,0.00002,30.32
2015-11-05T02:04:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2015-11-06T02:34:59.000Z,6.02,99.98,-32767,43.37,-32767,-32767,-32767
2015-11-07T02:59:59.000Z,6.02,99.98,-32767,33.586,-32767,-32767,-32767
2015-11-08T02:25:00.000Z,6.02,99.98,-32767,26.436,-32767,-32767,-32767
2015-11-09T02:59:59.000Z,6.02,99.98,1.11,52.636,255.2,0.000212,30.61
2015-11-10T02:15:00.000Z,6.02,99.98,-32767,34.838,-32767,-32767,-32767
2015-11-11T02:50:00.000Z,6.02,99.98,-32767,52.47,-32767,-32767,-32767
2015-11-12T02:09:59.000Z,6.02,99.98,-32767,41.438,-32767,-32767,-32767
2015-11-13T02:39:58.000Z,6.02,99.98,-32767,47.004,-32767,-32767,-32767
2015-11-14T02:09:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2015-11-15T02:29:59.000Z,6.02,99.98,0.65,52.022,142.6,0.000082,31.28
2015-11-16T02:59:59.000Z,6.02,99.98,-32767,50.378,-32767,-32767,-32767
2015-11-17T02:19:59.000Z,6.02,99.98,-32767,50.984,-32767,-32767,-32767
2015-11-18T02:54:59.000Z,6.02,99.98,-32767,51.558,-32767,-32767,-32767
2015-11-19T02:09:59.000Z,6.02,99.98,0.39,51.536,95,0.000094,-32767
2015-11-20T02:44:59.000Z,6.02,99.98,-32767,49.958,-32767,-32767,-32767
2015-11-21T02:05:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2015-11-22T02:35:00.000Z,6.02,99.98,-32767,41.738,-32767,-32767,30.46
2015-11-23T03:00:00.000Z,6.02,99.98,-32767,9.602,-32767,-32767,-32767
2015-11-24T02:25:00.000Z,6.02,99.98,-32767,51.094,-32767,-32767,30.31
2015-11-25T03:00:00.000Z,6.02,99.98,-32767,35.384,-32767,-32767,-32767
2015-11-26T02:14:59.000Z,6.02,99.98,-32767,45.28,-32767,-32767,-32767
2015-11-27T02:50:00.000Z,6.02,99.98,-32767,50.802,-32767,-32767,-32767
2015-11-28T02:09:59.000Z,6.02,99.98,-32767,20.592,-32767,-32767,-32767
2015-11-29T02:39:59.000Z,6.02,99.98,0.73,50.412,144.6,0.00002199,30.77
2015-11-30T02:04:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2015-12-01T02:29:59.000Z,6.02,99.98,-32767,17.924,-32767,-32767,-32767
2015-12-02T02:59:59.000Z,6.02,99.98,-32767,39,-32767,-32767,-32767
2015-12-03T02:19:59.000Z,6.02,99.98,-32767,50.3,-32767,-32767,-32767
2015-12-04T02:54:59.000Z,6.02,99.98,-32767,48.798,-32767,-32767,-32767
2015-12-05T02:10:00.000Z,6.02,99.98,-32767,49.934,-32767,-32767,-32767
2015-12-06T02:44:59.000Z,6.02,99.98,-32767,47.982,-32767,-32767,-32767
2015-12-07T02:05:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2015-12-08T02:35:00.000Z,6.02,99.98,1.23,49.738,817.6,-32767,29.95
2015-12-09T03:00:00.000Z,6.02,99.98,-32767,22.354,-32767,-32767,-32767
2015-12-10T02:24:59.000Z,6.02,99.98,-32767,43.838,-32767,-32767,-32767
2015-12-11T03:00:00.000Z,6.02,99.98,1.78,49.356,241,0.000024,30.64
2015-12-12T02:14:59.000Z,6.02,99.98,1.03,49.486,152.2,0.000016,30.28
2015-12-13T02:49:59.000Z,6.02,99.98,-32767,49.492,-32767,-32767,-32767
2015-12-14T02:09:59.000Z,6.02,99.98,-32767,47.088,-32767,-32767,-32767
2015-12-15T02:39:59.000Z,6.02,99.98,-32767,32.242,-32767,-32767,-32767
2015-12-16T02:04:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2015-12-17T02:29:59.000Z,6.02,99.98,-32767,47.804,-32767,-32767,-32767
2015-12-18T02:59:59.000Z,6.02,99.98,-32767,49.35,-32767,-32767,-32767
2015-12-19T02:20:00.000Z,6.02,99.98,-32767,49.388,-32767,-32767,30.35
