"","date","LE","qc_LE","co2_flux","qc_co2_flux","wind_speed","dir","index1","lat1","lon1","swh1","wind_speed_alt1"
"1",2015-11-12 00:30:00,7.514946827,1,0.474235265,1,0.051943995,186.1646491,NA,NA,NA,NA,NA
"2",2015-11-12 01:00:00,6.106607401,1,0.414857465,1,0.058997956,185.8019289,NA,NA,NA,NA,NA
"3",2015-11-12 01:30:00,3.959283786,1,NA,2,0.127054329,172.8562656,NA,NA,NA,NA,NA
"4",2015-11-12 02:00:00,4.29040411,1,0.355198914,1,0.108201053,191.5574584,NA,NA,NA,NA,NA
"5",2015-11-12 02:30:00,4.169148005,1,0.4772189,1,0.050940032,179.8496337,NA,NA,NA,NA,NA
"6",2015-11-12 03:00:00,3.004830708,1,0.308422889,1,0.063935865,180.9058977,NA,NA,NA,NA,NA
"7",2015-11-12 03:30:00,6.262448114,1,1.298685055,1,0.015830176,149.670824,NA,NA,NA,NA,NA
"8",2015-11-12 04:00:00,0.749790122,1,-0.157502786,1,0.032258258,195.641042,NA,NA,NA,NA,NA
"9",2015-11-12 04:30:00,NA,2,-0.37996128,1,0.096417889,197.4539877,NA,NA,NA,NA,NA
"10",2015-11-12 05:00:00,4.327973897,1,0.699443467,1,0.009638825,149.2262654,NA,NA,NA,NA,NA
"11",2015-11-12 05:30:00,1.005072762,1,NA,2,0.066017216,164.1122031,NA,NA,NA,NA,NA
"12",2015-11-12 06:00:00,NA,2,-0.178394796,1,0.07242801,202.1858862,NA,NA,NA,NA,NA
"13",2015-11-12 06:30:00,NA,2,-0.310215548,1,0.102152206,199.6500677,NA,NA,NA,NA,NA
"14",2015-11-12 07:00:00,0.599884494,1,0.066642534,1,0.081414781,177.3960177,NA,NA,NA,NA,NA
"15",2015-11-12 07:30:00,0.094801844,1,NA,2,0.012158256,357.6233083,NA,NA,NA,NA,NA
"16",2015-11-12 08:00:00,0.788746223,1,NA,2,0.040126275,201.4672061,NA,NA,NA,NA,NA
"17",2015-11-12 08:30:00,2.013196815,1,0.332716327,1,0.12271339,142.9638415,NA,NA,NA,NA,NA
"18",2015-11-12 09:00:00,NA,2,-0.197941113,1,0.089893796,150.7116991,NA,NA,NA,NA,NA
"19",2015-11-12 09:30:00,8.114503292,1,0.734992781,1,0.129961795,54.01460486,NA,NA,NA,NA,NA
"20",2015-11-12 10:00:00,5.732121975,1,-0.487385857,1,0.061054206,307.9800729,NA,NA,NA,NA,NA
"21",2015-11-12 10:30:00,12.91430773,1,0.34093818,1,1.543837009,67.73311861,NA,NA,NA,NA,NA
"22",2015-11-12 11:00:00,7.609685019,1,0.017610169,1,0.855491007,62.95051322,4260,2.555309,279.08249,1.947,4.56
"23",2015-11-12 11:30:00,9.442466476,1,NA,2,0.503236391,352.4978318,NA,NA,NA,NA,NA
"24",2015-11-12 12:00:00,8.69907345,1,0.112847127,1,0.800173356,338.0045681,NA,NA,NA,NA,NA
"25",2015-11-12 12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2015-11-12 13:00:00,10.44374865,1,NA,2,1.32381751,307.8674664,NA,NA,NA,NA,NA
"27",2015-11-12 13:30:00,9.569540487,1,-0.001255319,1,1.580761703,296.0725487,NA,NA,NA,NA,NA
"28",2015-11-12 14:00:00,10.12692944,1,-0.133156802,1,1.948079793,299.9274416,NA,NA,NA,NA,NA
"29",2015-11-12 14:30:00,11.89412457,1,0.170935237,1,1.826471849,301.9131871,NA,NA,NA,NA,NA
"30",2015-11-12 15:00:00,4.908363915,1,-0.053867188,1,1.717833045,300.4359987,NA,NA,NA,NA,NA
"31",2015-11-12 15:30:00,9.981669763,1,-0.002080146,1,1.856397174,306.5799025,NA,NA,NA,NA,NA
"32",2015-11-12 16:00:00,6.75824058,1,0.125784214,1,1.489114178,309.9087647,NA,NA,NA,NA,NA
"33",2015-11-12 16:30:00,12.72860737,1,0.073813865,1,1.443815972,301.5477974,NA,NA,NA,NA,NA
"34",2015-11-12 17:00:00,4.308265107,1,-0.472227998,1,1.006266396,301.8567524,NA,NA,NA,NA,NA
"35",2015-11-12 17:30:00,NA,2,NA,2,0.397025291,248.4971274,NA,NA,NA,NA,NA
