daytime,co2_mole_fraction,co2_mixing_ratio,x_90.,air_pressure
12/11/2015 0:30,400.6149321,413.2421787,10,100957.9278
12/11/2015 1:00,401.9732588,414.7348874,8,100988.4097
12/11/2015 1:30,401.925714,414.6997614,33,100997.1323
12/11/2015 2:00,400.9167658,413.4950941,30,100972.562
12/11/2015 2:30,396.9165167,409.1573173,8,100936.0145
12/11/2015 3:00,396.8989194,408.9839364,16,100880.2983
12/11/2015 3:30,401.5728703,413.8910663,NA,100859.2898
12/11/2015 4:00,401.5107863,413.8348174,7,100823.9389
12/11/2015 4:30,402.8350923,415.1596003,39,100805.1513
12/11/2015 5:00,405.3978873,417.8683984,NA,100816.4622
12/11/2015 5:30,406.9807485,419.4633842,25,100830.0398
12/11/2015 6:00,404.7258811,417.0636637,27,100824.2734
12/11/2015 6:30,406.0679617,418.479561,57,100834.3014
12/11/2015 7:00,400.3693237,412.5556099,36,100851.2498
12/11/2015 7:30,406.6442089,419.1165996,NA,100874.3587
12/11/2015 8:00,408.8013434,421.6127763,8,100920.1158
12/11/2015 8:30,405.7337963,418.5132688,31,100941.3373
12/11/2015 9:00,407.3718743,420.2723156,12,100959.5083
12/11/2015 9:30,400.9632702,413.3566685,16,100981.413
12/11/2015 10:00,399.1904227,411.5231534,NA,100971.5673
12/11/2015 10:30,407.8766625,420.8725513,684,100920.4841
12/11/2015 11:00,403.3952669,416.0845797,350,100978.1111
12/11/2015 11:30,399.1442681,411.6536611,191,100970.1417
12/11/2015 12:00,396.2319249,408.5403096,351,100943.0218
12/11/2015 12:30,NA,NA,NA,NA
12/11/2015 13:00,391.5098204,403.6335467,876,100906.2923
12/11/2015 13:30,390.9285783,403.1358429,926,100872.0873
12/11/2015 14:00,390.1883242,402.5595693,1254,100843.7176
12/11/2015 14:30,389.1197377,401.5189306,1283,100820.6976
12/11/2015 15:00,388.6349431,400.7428448,915,100795.5728
12/11/2015 15:30,387.3720824,399.2860782,1136,100739.8789
12/11/2015 16:00,387.2991741,399.1485209,790,100688.2143
12/11/2015 16:30,387.2343296,399.1091912,721,100667.2808
12/11/2015 17:00,387.8624232,399.7428568,464,100656.8498
12/11/2015 17:30,395.9388669,408.4571573,326,100679.7692
12/11/2015 18:00,402.1205764,415.0749556,21,100705.0372
12/11/2015 18:30,418.9983975,432.6698858,14,100728.0724
12/11/2015 19:00,438.2666318,451.7764314,27,100746.1281
12/11/2015 19:30,428.9684623,442.6405757,33,100819.3415
12/11/2015 20:00,427.8531351,440.6143089,69,100876.0466
12/11/2015 20:30,428.9614432,441.1390433,440,100896.3954
12/11/2015 21:00,421.8854166,435.2602252,25,100889.1223
12/11/2015 21:30,433.5655409,445.7596615,40,100906.5065
12/11/2015 22:00,429.5983845,441.915288,48,100946.6457
12/11/2015 22:30,432.3359963,445.0591994,13,101001.6529
12/11/2015 23:00,432.119085,445.2422526,NA,101016.3911
12/11/2015 23:30,438.0725486,451.1570459,NA,101027.4577
13/11/2015 0:00,441.1664576,454.9056635,15,101037.1284
13/11/2015 0:30,440.4030895,454.291584,26,101031.7208
13/11/2015 1:00,435.2650861,449.0635474,8,101031.8807
13/11/2015 1:30,428.0128845,441.497784,13,100999.7867
13/11/2015 2:00,422.8683311,436.5065371,20,100956.8714
13/11/2015 2:30,425.4254841,439.2197096,19,100941.7519
13/11/2015 3:00,422.411285,435.9996236,17,100886.0941
13/11/2015 3:30,416.2567872,429.3670238,43,100856.9138
13/11/2015 4:00,417.4064376,430.426266,24,100816.9097
13/11/2015 4:30,411.90839,424.6631953,39,100801.6493
13/11/2015 5:00,414.7526983,427.6579017,32,100798.4254
13/11/2015 5:30,417.3352759,430.3481913,18,100804.2697
13/11/2015 6:00,427.0370559,440.2938278,23,100791.0921
13/11/2015 6:30,416.5852338,429.2208788,25,100798.0211
13/11/2015 7:00,419.2198204,432.0735019,18,100832.7001
13/11/2015 7:30,409.4363465,421.8512112,14,100892.6994
13/11/2015 8:00,411.3169163,424.0367649,11,100938.3463
13/11/2015 8:30,409.0397024,421.9534705,24,100970.16
13/11/2015 9:00,403.7348907,416.4236889,20,101014.7731
