"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"35",4303,6.655999,282.498731,2015-11-03 11:09:11,1.211,2.13
"78",4190,2.545923,281.964621,2015-11-06 11:13:47,NA,NA
"100",1419,3.056429,282.49219,2015-11-07 23:15:01,NA,NA
"117",4232,2.516132,280.530807,2015-11-09 11:19:32,1.463,8.06
"139",1352,7.448826,282.022206,2015-11-10 23:19:33,NA,NA
"160",4260,2.555309,279.08249,2015-11-12 11:25:18,1.947,4.56
"182",1364,7.439785,280.583878,2015-11-13 23:25:17,1.356,2.57
"223",1352,7.48194,279.160847,NA,NA,NA
"266",1361,7.461231,277.724071,2015-11-19 23:36:43,1.934,4.88
"300",4161,3.47888,282.487956,2015-11-22 11:11:06,0.852,7.58
"343",4223,2.556318,281.259985,2015-11-25 11:16:33,1.042,1.25
"365",1369,6.244531,282.497255,2015-11-26 23:16:52,0.734,2.26
"386",4293,2.553333,279.825643,2015-11-28 11:22:17,1.062,4.62
"408",1367,7.4922,281.336481,2015-11-29 23:22:16,0.909,6.13
"429",4298,2.509629,278.397696,2015-12-01 11:28:01,1.771,5.12
"451",1359,7.44912,279.889505,NA,NA,NA
"494",1366,7.492873,278.461894,2015-12-05 23:33:44,0.576,0.98
"529",4225,6.712493,282.499865,2015-12-08 11:09:03,NA,NA
"572",4208,2.500918,281.992661,2015-12-11 11:13:36,NA,NA
"594",1412,2.974328,282.496052,2015-12-12 23:14:51,NA,NA
"615",4213,2.552371,280.545689,2015-12-14 11:19:21,1.404,8.47
"637",1354,7.432537,282.045216,2015-12-15 23:19:20,NA,NA
"658",4238,2.529525,279.115303,2015-12-17 11:25:05,1.096,4.76
"679",1352,7.491703,280.623167,2015-12-18 23:25:03,0.844,4.59
"700",4297,2.509411,277.684589,2015-12-20 11:30:48,1.206,4.47
"722",1357,7.479898,279.185692,NA,NA,NA
"764",1369,7.439832,277.74288,2015-12-24 23:36:31,0.968,2.72
"799",4149,3.552621,282.492366,2015-12-27 11:10:55,0.907,3.84
"842",4218,2.51014,281.288427,2015-12-30 11:16:21,0.681,2.33
"864",1358,6.116193,282.48894,2015-12-31 23:16:43,1.076,4.31
