"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"14",1346,7.491559,279.127949,2017-01-01 23:29:29,NA,NA
"90",4203,2.552626,282.28225,2017-01-07 11:10:48,NA,NA
"132",4230,2.551486,280.64682,2017-01-10 11:17:20,1.355,3.56
"154",1344,7.452827,282.049621,NA,NA,NA
"175",4293,2.548038,279.012265,2017-01-13 11:23:51,1.339,4.42
"196",1343,7.494657,280.423177,2017-01-14 23:24:14,1.611,9.24
"239",1342,7.445754,278.776389,2017-01-17 23:30:46,0.826,3.9
"273",4182,7.478689,282.491498,NA,NA,NA
"316",4216,2.546454,281.945207,2017-01-23 11:12:04,NA,NA
"338",1395,3.576466,282.489839,2017-01-24 23:13:32,0.61,3.78
"359",4287,2.547607,280.310178,2017-01-26 11:18:35,1.592,4.01
"381",1344,7.443222,281.70929,2017-01-27 23:18:59,0.735,3.71
"402",4290,2.522378,278.681143,2017-01-29 11:25:06,1.62,6.19
"424",1344,7.462745,280.078818,2017-01-30 23:25:30,0.927,6.84
"467",1354,7.483069,278.448499,2017-02-02 23:32:01,0.589,4.48
"502",4233,5.932867,282.499495,2017-02-05 11:07:45,0.895,2.83
"545",4223,2.519454,281.617953,2017-02-08 11:13:18,NA,NA
"567",1359,5.105343,282.493855,2017-02-09 23:14:21,0.665,2.52
"588",4316,2.502528,279.988078,2017-02-11 11:19:49,1.643,5.88
"610",1347,7.492133,281.388463,2017-02-12 23:20:12,0.891,2.15
"624",9756,2.556555,278.342336,2017-02-14 11:26:21,1.232,1.58
"646",1351,7.485164,279.75304,NA,NA,NA
"689",1346,7.494921,278.121417,2017-02-18 23:33:15,NA,NA
"724",4173,4.478574,282.49144,2017-02-21 11:08:34,0.684,3.64
"767",4260,2.525906,281.288383,2017-02-24 11:14:32,0.988,1.79
"789",1340,6.570913,282.490959,2017-02-25 23:15:10,0.836,2.18
"810",4303,2.508846,279.659419,2017-02-27 11:21:03,1.557,0.98
"832",1351,7.461942,281.055936,2017-02-28 23:21:26,1.184,1.29
"853",4341,2.545613,278.018406,2017-03-02 11:27:35,1.09,3.47
"875",1349,7.490823,279.429679,NA,NA,NA
"918",1342,7.481625,277.795272,2017-03-06 23:34:28,1.04,2.79
"953",4189,3.022167,282.488993,2017-03-09 11:09:22,NA,NA
"996",4236,2.55524,280.960015,2017-03-12 11:15:45,0.95,4.3
"1018",1325,7.440071,282.363726,NA,NA,NA
"1039",4288,2.559758,279.327113,2017-03-15 11:22:16,1.297,4.04
"1061",1344,7.45096,280.734413,2017-03-16 23:22:38,0.92,6.4
"1082",4344,2.503589,277.707505,2017-03-18 11:28:46,1.393,4.71
"1104",1333,7.461665,279.105194,2017-03-19 23:29:09,NA,NA
"1182",4223,2.542907,282.276925,2017-03-25 11:10:26,NA,NA
"1221",4258,2.523724,280.650423,2017-03-28 11:16:56,0.722,0.98
"1243",1344,7.458721,282.053109,NA,NA,NA
"1264",4308,2.548375,279.014042,2017-03-31 11:23:27,1.096,1.87
"1286",1351,7.462618,280.423197,2017-04-01 23:23:49,1.214,0.98
"1329",1345,7.453651,278.790811,2017-04-04 23:30:19,1.049,3.57
"1407",4242,2.518964,281.971011,2017-04-10 11:11:36,NA,NA
"1429",1397,3.464585,282.49093,2017-04-11 23:13:05,0.534,2.14
"1450",4271,2.558884,280.332316,2017-04-13 11:18:06,0.932,2.03
"1472",1351,7.444016,281.740343,2017-04-14 23:18:28,0.884,1.76
"1493",4326,2.508802,278.713455,2017-04-16 11:24:36,1.679,1.81
"1515",1346,7.463069,280.114789,2017-04-17 23:24:58,1.117,2.78
"1558",1352,7.469854,278.486881,2017-04-20 23:31:28,0.832,3.67
"1593",4289,6.12586,282.499023,2017-04-23 11:07:15,1.645,1.76
"1636",4258,2.553649,281.658007,2017-04-26 11:12:45,NA,NA
"1658",1385,4.868069,282.494698,2017-04-27 23:13:50,0.886,3.41
"1679",4302,2.533831,280.033456,2017-04-29 11:19:14,1.44,6.54
"1701",1346,7.487306,281.445514,2017-04-30 23:19:36,1.361,2.08
