"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"6",4291,2.523603,279.85246,2016-01-02 11:22:05,1.484,4.89
"28",1354,7.446466,281.350929,2016-01-03 23:22:04,0.855,4.74
"48",4296,2.514951,278.421797,2016-01-05 11:27:48,1.186,2.84
"70",1348,7.47854,279.925496,2016-01-06 23:27:46,NA,NA
"113",1360,7.450034,278.478798,2016-01-09 23:33:32,0.44,3.36
"148",4197,6.886364,282.482278,2016-01-12 11:08:54,NA,NA
"191",4221,2.540222,281.999243,2016-01-15 11:13:26,NA,NA
"213",1410,2.894682,282.491818,2016-01-16 23:14:43,NA,NA
"234",4227,2.524339,280.561209,2016-01-18 11:19:11,1.197,3
"256",1346,7.459013,282.058366,NA,NA,NA
"277",4263,2.543194,279.116242,2016-01-21 11:24:57,1.845,4.54
"299",1340,7.44211,280.613713,2016-01-22 23:24:57,1.024,4.2
"320",4285,2.502494,277.684887,2016-01-24 11:30:41,1.963,8.58
"342",1343,7.479211,279.181443,NA,NA,NA
"385",1351,7.482106,277.741684,2016-01-28 23:36:26,0.936,3.49
"420",4158,3.445105,282.499904,2016-01-31 11:10:51,1.06,1.1
"463",4254,2.546846,281.257992,2016-02-03 11:16:20,1.05,5.54
"485",1354,6.253667,282.493122,2016-02-04 23:16:40,1.14,3.37
"506",4298,2.559327,279.816461,2016-02-06 11:22:05,1.463,4.01
"528",1351,7.453547,281.320235,2016-02-07 23:22:05,1.456,8.3
"549",4320,2.546114,278.381095,2016-02-09 11:27:50,1.668,3.51
"571",1341,7.479189,279.887464,2016-02-10 23:27:49,NA,NA
"613",1350,7.492655,278.45217,2016-02-13 23:33:33,0.716,6.52
"648",4207,6.675895,282.497547,2016-02-16 11:08:51,0.493,1.55
"691",4238,2.526298,281.976296,2016-02-19 11:13:26,NA,NA
"713",1389,3.032229,282.496751,2016-02-20 23:14:40,NA,NA
"734",4240,2.556149,280.533547,2016-02-22 11:19:11,1,1.09
"756",1337,7.460808,282.03853,NA,NA,NA
"777",4271,2.554538,279.097677,2016-02-25 11:24:55,1.121,1.15
"798",1348,7.469156,280.604008,2016-02-26 23:24:54,1.352,7.5
"817",4311,2.512838,277.670647,2016-02-28 11:30:38,2.147,8.61
"839",1344,7.488362,279.172113,NA,NA,NA
"881",1348,7.482578,277.735105,2016-03-03 23:36:22,0.872,2.18
"916",4168,3.448347,282.498423,2016-03-06 11:10:45,0.486,3.28
"958",4264,2.560811,281.259325,2016-03-09 11:16:14,0.793,2.13
"980",1354,6.234297,282.494139,2016-03-10 23:16:33,1.546,3.18
"1001",4288,2.553421,279.82653,2016-03-12 11:21:57,1.191,0.98
"1023",1350,7.498115,281.340112,2016-03-13 23:21:56,0.781,2.03
"1044",4302,2.51496,278.400841,2016-03-15 11:27:40,1.71,2.59
"1060",1352,7.484557,279.903279,2016-03-16 23:27:40,NA,NA
"1101",1359,7.443944,278.45515,2016-03-19 23:33:25,0.6,3.16
"1136",4246,6.710773,282.496587,2016-03-22 11:08:45,NA,NA
"1178",4228,2.522369,281.974093,2016-03-25 11:13:21,NA,NA
"1199",1401,3.044554,282.491577,2016-03-26 23:14:36,NA,NA
"1219",4239,2.547068,280.522154,2016-03-28 11:19:08,1.017,2.11
"1241",1340,7.419352,282.011828,2016-03-29 23:19:09,NA,NA
"1262",4289,2.525737,279.080779,2016-03-31 11:24:54,1.983,2.56
"1284",1364,7.466204,280.576521,2016-04-01 23:24:55,1.62,1.54
"1305",4364,2.515059,277.637657,2016-04-03 11:30:41,1.595,2.5
"1327",1333,7.379988,279.112017,2016-04-04 23:30:43,NA,NA
"1369",1356,7.488388,277.692523,2016-04-07 23:36:27,0.975,2.81
"1403",4191,3.258252,282.495684,2016-04-10 11:10:47,NA,NA
"1445",4262,2.512659,281.225925,2016-04-13 11:16:18,0.591,4.13
"1466",1350,6.399067,282.489326,2016-04-14 23:16:35,0.773,2.04
"1486",4283,2.558283,279.782919,2016-04-16 11:22:02,0.853,3.97
"1507",1342,7.4422,281.287863,2016-04-17 23:22:01,1.437,1.86
"1526",4311,2.557499,278.350416,2016-04-19 11:27:45,1.426,3.96
"1543",1352,7.459472,279.858861,NA,NA,NA
"1601",4283,6.621525,282.493117,2016-04-26 11:08:43,0.846,1.37
"1642",4257,2.54847,281.95949,2016-04-29 11:13:18,NA,NA
"1663",1405,3.022663,282.487351,2016-04-30 23:14:31,NA,NA
