"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"29",1365,7.492319,278.608358,2016-07-02 23:32:31,1.178,3.05
"62",4362,7.096276,282.498843,2016-07-05 11:08:10,NA,NA
"104",4330,2.530631,281.857173,2016-07-08 11:13:28,NA,NA
"126",1497,4.013989,282.489736,2016-07-09 23:14:51,0.787,4.84
"147",4439,2.549475,280.204215,2016-07-11 11:20:03,1.449,6.78
"169",1491,7.498173,281.611797,2016-07-12 23:20:27,1.56,2.69
"190",4519,2.50041,278.566438,2016-07-14 11:26:37,1.671,6.57
"212",1558,7.476513,279.958332,2016-07-15 23:27:02,NA,NA
"255",1357,7.473663,278.308842,2016-07-18 23:33:37,NA,NA
"290",4308,5.273639,282.492808,2016-07-21 11:09:13,1.492,4.3
"332",4309,2.555607,281.443635,2016-07-24 11:15:02,0.587,2.53
"353",1373,5.89784,282.49949,2016-07-25 23:15:52,0.734,2.18
"374",4356,2.521888,279.80361,2016-07-27 11:21:36,1.341,6.56
"396",1360,7.480435,281.202823,2016-07-28 23:21:59,0.942,2.34
"417",4410,2.54774,278.150357,2016-07-30 11:28:10,1.783,5.35
"439",1369,7.450002,279.548098,2016-07-31 23:28:34,NA,NA
"482",1370,7.438859,277.897809,2016-08-03 23:35:09,1.288,3.02
"517",4231,3.422523,282.498004,2016-08-06 11:10:13,0.676,3.93
"560",4317,2.545678,281.044344,2016-08-09 11:16:33,1.203,6.18
"582",1353,7.363824,282.423923,2016-08-10 23:16:58,NA,NA
"603",4342,2.518807,279.40392,2016-08-12 11:23:07,1.257,4.56
"625",1365,7.472282,280.801318,2016-08-13 23:23:31,1.053,2.69
"646",4412,2.500465,277.761468,2016-08-15 11:29:41,1.661,5.99
"668",1354,7.425754,279.144004,NA,NA,NA
"711",1369,7.47472,277.508329,2016-08-19 23:36:39,1.553,4.79
"746",4317,2.560067,282.291808,2016-08-22 11:11:29,NA,NA
"789",4320,2.51757,280.655939,2016-08-25 11:18:02,1.444,7.56
"811",1349,7.432254,282.044286,NA,NA,NA
"832",4358,2.543401,279.004887,2016-08-28 11:24:37,1.545,6.21
"854",1367,7.457674,280.40387,2016-08-29 23:25:01,1.89,8.93
"897",1374,7.471016,278.761033,2016-09-01 23:31:34,1.771,3.88
"932",4336,7.350021,282.489208,2016-09-04 11:07:45,NA,NA
"975",4266,2.55829,281.902965,2016-09-07 11:12:58,NA,NA
"997",1400,3.799378,282.496617,2016-09-08 23:14:23,0.837,4.7
"1018",4348,2.543763,280.262117,2016-09-10 11:19:31,1.996,7.12
"1040",1363,7.440527,281.657162,2016-09-11 23:19:56,2.276,6.42
"1060",4381,2.541394,278.618457,2016-09-13 11:26:05,1.448,6.2
"1081",1371,7.490645,280.023451,2016-09-14 23:26:29,1.507,3.1
"1124",1374,7.450791,278.370306,2016-09-17 23:33:03,0.401,3.68
"1159",4335,5.59458,282.494643,2016-09-20 11:08:43,0.978,1.77
"1202",4299,2.527796,281.527442,2016-09-23 11:14:25,NA,NA
"1224",1379,5.529722,282.495165,2016-09-24 23:15:21,NA,NA
"1245",4368,2.536619,279.882306,2016-09-26 11:20:58,1.647,4.81
"1267",1363,7.446383,281.276091,2016-09-27 23:21:23,1.196,2.35
"1288",4401,2.515576,278.243795,2016-09-29 11:27:31,2.094,5.3
"1310",1366,7.456146,279.634886,NA,NA,NA
