"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"21",4364,2.511507,278.40984,2017-05-02 11:25:44,1.355,3.95
"43",1368,7.444729,279.807538,NA,NA,NA
"86",1369,7.497758,278.190974,NA,NA,NA
"120",4267,4.770972,282.498154,2017-05-09 11:07:59,0.822,2.41
"163",4315,2.550759,281.358913,2017-05-12 11:13:52,0.799,2.71
"185",1365,6.216092,282.491996,2017-05-13 23:14:34,1.141,2.02
"206",4363,2.513169,279.739155,2017-05-15 11:20:21,7.799,2.27
"227",1361,7.494682,281.147449,2017-05-16 23:20:43,1.01,1.8
"235",4400,2.501248,278.114198,2017-05-18 11:26:50,2.085,4.01
"255",1368,7.475257,279.515426,NA,NA,NA
"298",1370,7.441835,277.880378,2017-05-22 23:33:43,1.657,2.02
"333",4250,3.469756,282.48858,2017-05-25 11:08:43,0.726,4.57
"376",4315,2.540831,281.065392,2017-05-28 11:14:57,0.965,3.34
"398",1340,7.412423,282.460979,2017-05-29 23:15:20,NA,NA
"419",4373,2.557403,279.434819,2017-05-31 11:21:27,1.485,6.25
"441",1360,7.482885,280.849823,2017-06-01 23:21:48,1.057,1.76
"462",4421,2.557398,277.808428,2017-06-03 11:27:56,2.102,5.15
"484",1355,7.493073,279.225349,NA,NA,NA
"527",1367,7.499936,277.599914,2017-06-07 23:34:47,1.727,3.26
"562",4257,2.540046,282.401016,NA,NA,NA
"605",4293,2.513833,280.780205,2017-06-13 11:16:01,0.692,4.3
"627",1348,7.468902,282.182599,NA,NA,NA
"648",4359,2.511207,279.154731,2017-06-16 11:22:31,1.589,6.15
"670",1358,7.451648,280.55292,2017-06-17 23:22:53,1.37,4.7
"690",4433,2.545624,277.521474,2017-06-19 11:29:00,2.018,4.21
"712",1368,7.447202,278.925993,2017-06-20 23:29:23,9.973,2.72
"790",4297,2.525863,282.11582,2017-06-26 11:10:36,NA,NA
"810",1412,2.824311,282.495945,2017-06-27 23:12:16,NA,NA
"831",4341,2.513935,280.49294,2017-06-29 11:17:05,1.396,5.08
"853",1354,7.497667,281.903144,2017-06-30 23:17:27,NA,NA
"874",4401,2.536627,278.862905,2017-07-02 11:23:34,1.4,6.62
"896",1359,7.485445,280.275365,2017-07-03 23:23:56,1.135,1.62
"939",1371,7.455468,278.64333,2017-07-06 23:30:25,1.744,3.82
"974",4367,6.913394,282.488795,2017-07-09 11:06:24,NA,NA
"1017",4304,2.513407,281.834623,2017-07-12 11:11:39,NA,NA
"1039",1395,4.095819,282.493709,2017-07-13 23:12:57,0.909,2.87
"1058",4337,2.505463,280.211832,2017-07-15 11:18:07,1.338,6.18
"1080",1349,7.45457,281.612381,2017-07-16 23:18:30,1.148,4.34
"1092",4369,2.502904,278.588196,2017-07-18 11:24:36,1.884,5.58
"1107",1367,7.494814,279.996969,2017-07-19 23:24:58,NA,NA
"1135",1369,7.442158,278.360499,2017-07-22 23:31:27,1.589,2.81
"1155",4315,5.647905,282.488645,2017-07-25 11:07:04,0.857,3.02
"1181",4316,2.514066,281.555507,2017-07-28 11:12:40,NA,NA
"1195",1381,5.344131,282.491942,2017-07-29 23:13:38,1.129,2.97
"1208",4362,2.523174,279.930149,2017-07-31 11:19:09,2.241,6.73
"1223",1360,7.47947,281.341485,2017-08-01 23:19:30,1.547,3.09
"1236",4399,2.529256,278.305353,2017-08-03 11:25:38,1.279,4.33
"1251",1373,7.466031,279.714674,NA,NA,NA
"1276",1371,7.494446,278.09715,2017-08-07 23:32:28,3.828,5.67
"1297",4305,4.404583,282.488469,2017-08-10 11:07:44,1.167,2.02
"1321",4294,2.500002,281.285113,2017-08-13 11:13:41,1.038,4.18
"1335",1360,6.602289,282.49757,2017-08-14 23:14:17,1.736,3.54
"1348",4365,2.505087,279.661615,2017-08-16 11:20:10,1.712,6.38
"1361",1365,7.457005,281.064319,2017-08-17 23:20:31,0.852,2.12
"1373",4392,2.516103,278.036472,2017-08-19 11:26:38,1.782,6.88
"1388",1374,7.490063,279.448414,NA,NA,NA
"1415",1371,7.499367,277.827814,2017-08-23 23:33:27,1.668,12.22
"1434",4259,3.147843,282.496375,2017-08-26 11:08:23,NA,NA
"1462",4301,2.53682,281.009309,2017-08-29 11:14:41,3.207,12.33
"1476",1352,7.302572,282.384746,2017-08-30 23:15:05,NA,NA
