"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"21",4300,2.556574,280.526166,2016-05-02 11:19:01,1.777,4.43
"43",1350,7.489202,282.042632,NA,NA,NA
"64",4315,2.504225,279.10637,2016-05-05 11:24:43,1.27,3.75
"86",1359,7.479441,280.60877,2016-05-06 23:24:42,1.149,5.47
"107",4386,2.519841,277.671287,2016-05-08 11:30:26,1.133,4.76
"129",1353,7.479096,279.177107,NA,NA,NA
"172",1366,7.450491,277.73983,2016-05-12 23:36:08,1.088,2.52
"206",4281,3.517019,282.496001,2016-05-15 11:10:31,0.782,3.89
"249",4325,2.50715,281.28823,2016-05-18 11:15:57,1.307,3.79
"270",1373,6.11256,282.489189,2016-05-19 23:16:18,1.03,3.43
"291",4364,2.51644,279.856148,2016-05-21 11:21:40,1.22,4.3
"313",1357,7.4901,281.364245,2016-05-22 23:21:38,0.99,2.83
"334",4358,2.5124,278.426941,2016-05-24 11:27:22,1.591,7.34
"356",1360,7.445492,279.924244,2016-05-25 23:27:21,1.533,1.52
"398",1352,7.462656,278.49851,2016-05-28 23:33:03,1.049,3.97
"433",4360,6.979524,282.488652,NA,NA,NA
"476",4293,2.531044,282.041623,2016-06-03 11:12:52,NA,NA
"498",1416,2.716419,282.498707,2016-06-04 23:14:10,NA,NA
"519",4332,2.506031,280.618027,2016-06-06 11:18:34,1.519,6.78
"541",1347,7.432942,282.111093,2016-06-07 23:18:33,NA,NA
"562",4369,2.530104,279.18401,2016-06-09 11:24:16,1.274,5.57
"584",1364,7.457966,280.688087,2016-06-10 23:24:15,0.955,3.7
"604",4424,2.54366,277.752936,2016-06-12 11:29:59,1.218,4.78
"624",1372,7.415578,279.250448,NA,NA,NA
"667",1374,7.458797,277.831753,2016-06-16 23:35:39,1.749,3.06
"702",4257,3.979946,282.487828,2016-06-19 11:10:09,1.006,3.2
"745",4295,2.53678,281.377477,2016-06-22 11:15:27,1.283,4.37
"767",1379,5.690074,282.490919,2016-06-23 23:15:55,1.911,6.22
"805",1366,7.479875,281.460299,2016-06-26 23:21:07,1.47,3.19
"826",4366,2.558537,278.518369,2016-06-28 11:26:51,2.055,5.91
"848",1372,7.483755,280.034018,2016-06-29 23:26:49,1.267,2.93
