"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"6",4370,2.559092,279.382889,2017-09-01 11:21:10,1.219,4.79
"28",1358,7.449603,280.795223,2017-09-02 23:21:31,0.956,4.42
"49",4433,2.502358,277.773699,2017-09-04 11:27:37,1.397,6.74
"71",1361,7.484024,279.18074,2017-09-05 23:27:59,NA,NA
"114",1365,7.452271,277.552333,2017-09-08 23:34:27,1.249,3.73
"149",4279,2.572892,282.360277,2017-09-11 11:09:12,NA,NA
"214",1348,7.458017,282.156901,NA,NA,NA
"235",4343,2.53167,279.128584,2017-09-17 11:22:07,1.689,6.34
"257",1330,7.492686,280.543513,2017-09-18 23:22:28,1.047,2.03
"277",4440,2.520025,277.510791,2017-09-20 11:28:35,1.426,6.86
"299",1361,7.465311,278.916925,2017-09-21 23:28:57,1.055,2.99
"375",4297,2.523366,282.114954,2017-09-27 11:10:08,NA,NA
"397",1425,2.783132,282.488056,2017-09-28 23:11:49,NA,NA
"418",4340,2.544349,280.49086,2017-09-30 11:16:36,1.214,5.43
"440",1352,7.489889,281.907799,2017-10-01 23:16:57,6.876,1.49
"461",4362,2.512726,278.87831,2017-10-03 11:23:04,1.265,5.6
"483",1357,7.486061,280.287117,2017-10-04 23:23:25,1.911,10.12
"525",1366,7.483891,278.667589,2017-10-07 23:29:53,1.575,3.4
"559",4327,7.00361,282.494003,2017-10-10 11:05:52,NA,NA
"602",4243,2.530077,281.862706,2017-10-13 11:11:04,NA,NA
"624",1404,3.968753,282.498213,2017-10-14 23:12:24,0.938,3.19
"645",4313,2.513258,280.247675,2017-10-16 11:17:31,1.401,6.5
"667",1355,7.441387,281.64713,2017-10-17 23:17:53,1.276,3.04
"688",4343,2.55251,278.620561,2017-10-19 11:24:00,1.618,6.47
"710",1371,7.477246,280.036692,2017-10-20 23:24:20,1.616,4.92
"753",1367,7.445088,278.411613,2017-10-23 23:30:48,0.794,3.66
"788",4307,5.867572,282.498543,2017-10-26 11:06:27,1.305,3.27
"831",4240,2.526089,281.617195,2017-10-29 11:11:59,NA,NA
"853",1381,5.079402,282.497796,2017-10-30 23:13:00,0.661,3.09
"874",4281,2.54168,279.995931,2017-11-01 11:18:26,1.215,5.52
"896",1363,7.491451,281.413982,2017-11-02 23:18:47,0.965,2.05
"917",4359,2.515882,278.384206,2017-11-04 11:24:53,1.76,8.05
"939",1365,7.443919,279.786368,2017-11-05 23:25:15,NA,NA
"982",1361,7.461148,278.173413,2017-11-08 23:31:42,NA,NA
"1017",4207,4.769959,282.498789,2017-11-11 11:07:02,1.395,4
"1060",4248,2.555775,281.369214,2017-11-14 11:12:52,7.624,16.11
"1082",1382,6.121457,282.488171,2017-11-15 23:13:35,1.387,4.09
"1103",4300,2.523316,279.759571,2017-11-17 11:19:19,1.451,5.82
"1125",1365,7.475306,281.171655,2017-11-18 23:19:39,1.121,2.42
"1146",4320,2.553289,278.136523,2017-11-20 11:25:46,1.625,6.87
"1168",1360,7.449176,279.549591,2017-11-21 23:26:07,NA,NA
"1211",1370,7.452285,277.934092,2017-11-24 23:32:34,1.362,4.23
"1245",4209,3.744449,282.487156,2017-11-27 11:07:37,1.236,5.72
"1288",4266,2.544819,281.135001,2017-11-30 11:13:44,1.33,6.07
"1310",1346,7.157927,282.482609,NA,NA,NA
"1331",4268,2.552637,279.51425,2017-12-03 11:20:12,1.246,5.89
"1353",1358,7.460526,280.925172,2017-12-04 23:20:33,1.3,3.52
"1374",4309,2.561305,277.885757,2017-12-06 11:26:41,1.808,6.91
"1396",1366,7.395595,279.284119,NA,NA,NA
"1439",1367,7.487454,277.677487,2017-12-10 23:33:31,1.543,4.67
"1474",4194,2.526577,282.481633,NA,NA,NA
"1517",4239,2.554722,280.849103,2017-12-16 11:14:47,0.983,4.7
"1539",1342,7.498639,282.269255,NA,NA,NA
"1560",4265,2.542015,279.225857,2017-12-19 11:21:16,1.307,5.72
"1582",1348,7.469753,280.636638,2017-12-20 23:21:37,0.745,4.14
"1603",4313,2.524515,277.603733,2017-12-22 11:27:45,2.179,8.68
"1625",1345,7.439552,279.003754,2017-12-23 23:28:07,1.707,3.53
"1703",4209,2.523484,282.194476,2017-12-29 11:09:20,NA,NA
