"","index1","lat1","lon1","time1","swh1","wind_speed_alt1"
"43",1371,7.443108,277.989257,2016-10-03 23:34:30,1.659,6.27
"78",4230,3.911301,282.488532,2016-10-06 11:09:40,1.011,4.69
"121",4292,2.522126,281.152182,2016-10-09 11:15:50,1.039,5.54
"143",1347,7.244787,282.498434,2016-10-10 23:16:18,NA,NA
"164",4322,2.547046,279.504603,2016-10-12 11:22:24,1.972,6.44
"186",1364,7.440172,280.899425,2016-10-13 23:22:48,2.247,2.11
"207",4351,2.517851,277.869209,2016-10-15 11:28:57,1.882,6.9
"229",1355,7.338372,279.235182,NA,NA,NA
"272",1369,7.491702,277.628367,2016-10-19 23:35:54,1.784,5.02
"307",4218,2.552208,282.416816,2016-10-22 11:10:42,NA,NA
"349",4277,2.536649,280.77909,2016-10-25 11:17:15,1.691,8.11
"371",1352,7.302222,282.142112,2016-10-26 23:17:41,NA,NA
"392",4290,2.543451,279.136636,2016-10-28 11:23:48,1.494,7.27
"414",1356,7.482039,280.541164,2016-10-29 23:24:11,1.286,4.21
"435",4354,2.516153,277.502029,2016-10-31 11:30:20,1.429,6.8
"457",1366,7.467196,278.897522,2016-11-01 23:30:44,1.323,4.14
"535",4229,2.518645,282.058669,2016-11-07 11:12:04,NA,NA
"557",1407,3.083682,282.487745,2016-11-08 23:13:42,NA,NA
"578",4256,2.515587,280.419246,2016-11-10 11:18:37,1.193,5.72
"600",1360,7.472539,281.817115,2016-11-11 23:19:00,5.93,2.54
"621",4300,2.521719,278.778179,2016-11-13 11:25:10,1.37,6.82
"643",1367,7.479106,280.179115,2016-11-14 23:25:33,1.095,7.99
"686",1363,7.464032,278.536832,2016-11-17 23:32:06,0.915,3.32
"719",4247,6.380879,282.48658,2016-11-20 11:07:58,1.199,5.67
"761",4226,2.554515,281.691108,2016-11-23 11:13:26,NA,NA
"783",1385,4.763874,282.499625,2016-11-24 23:14:34,1.38,4.41
"804",4239,2.555389,280.05192,2016-11-26 11:19:59,1.77,7.74
"826",1357,7.478546,281.461353,2016-11-27 23:20:21,1.876,6.84
"847",4281,2.520979,278.420864,2016-11-29 11:26:30,1.414,5.38
"869",1366,7.491575,279.825715,NA,NA,NA
"912",1362,7.45232,278.178733,2016-12-03 23:33:26,NA,NA
"947",4147,4.766323,282.488094,2016-12-06 11:08:51,1.184,3.25
"990",4258,2.533744,281.341482,2016-12-09 11:14:45,1.205,4.63
"1012",1371,6.340242,282.494644,2016-12-10 23:15:27,0.744,2.42
"1033",4264,2.555823,279.699024,2016-12-12 11:21:18,1.542,7.29
"1055",1354,7.481548,281.11003,2016-12-13 23:21:40,1.033,4.05
"1076",4313,2.540197,278.065297,2016-12-15 11:27:50,1.061,5.46
"1098",1365,7.395594,279.453595,NA,NA,NA
"1141",1351,7.499483,277.839054,2016-12-19 23:34:44,0.797,3.46
"1175",4143,3.171276,282.490213,2016-12-22 11:09:43,NA,NA
"1217",4225,2.540182,280.991963,2016-12-25 11:16:04,1.019,6.06
"1239",1340,7.439429,282.389994,NA,NA,NA
"1260",4255,2.557847,279.351466,2016-12-28 11:22:36,1.116,4.53
"1282",1351,7.461645,280.758013,2016-12-29 23:22:58,1.215,6.39
"1303",4310,2.531847,277.72076,2016-12-31 11:29:07,1.308,5.89
